generation,score,sentence,color
0,0.6846446817197952,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from this wan to give the mere more nicely undertone of what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.5992217360332067, 0.8567475917103522, 0.3193410074063383)"
0,0.6841815915447783,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from this wan to give mere more nicely undertone of what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.5992217360332067, 0.8567475917103522, 0.3193410074063383)"
0,0.6840056234768531,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from this wan to give the mere more nicely undertone what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.5992217360332067, 0.8567475917103522, 0.3193410074063383)"
0,0.6839463751028448,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from wan to give the mere more nicely undertone of what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.5992217360332067, 0.8567475917103522, 0.3193410074063383)"
0,0.6838685205101679,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from this wan give the mere more nicely undertone of what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.5992217360332067, 0.8567475917103522, 0.3193410074063383)"
0,0.683865900852924,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from this wan to give the mere more nicely undertone of what the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.5992217360332067, 0.8567475917103522, 0.3193410074063383)"
0,0.6838613442652702,Indicate reconstruct this for an ventured piece to sit certitude in with improve a way from this wan to give the mere more nicely undertone of what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.5992217360332067, 0.8567475917103522, 0.3193410074063383)"
0,0.6837986783787454,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from this wan to give the mere more nicely undertone of what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using etext.,"(0.5992217360332067, 0.8567475917103522, 0.3193410074063383)"
0,0.6837781759419949,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from this wan to give the mere more nicely undertone of what the the of someone please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.5992217360332067, 0.8567475917103522, 0.3193410074063383)"
0,0.6837389124362552,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way this wan to give the mere more nicely undertone of what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.5992217360332067, 0.8567475917103522, 0.3193410074063383)"
