generation,score,sentence,color
0,0.5512860022576671,Text revamp.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
0,0.5451809855330129,Text modify.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
0,0.537722899653465,Text change.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
0,0.5352679656092296,Text renovate.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
0,0.5325729697309688,Text overhaul.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
1,0.5874497787315354,Text revamp this.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
1,0.5857359486728876,Text overhaul this.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
1,0.5756851612701621,Text revamp it.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
1,0.5743955900756763,Modify text.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
1,0.5675503400549833,Text renovate this.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
2,0.5980844070594727,Modify this text.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
2,0.5959803417360675,Text overhaul this paragraph.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
2,0.5952974165699526,Text revamp this ejea,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
2,0.5920232735797272,Text revamp this sentence.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
2,0.5917607137575079,Text revamp this elision),"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
3,0.599817068892112,Text overhaul this or paragraph.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
3,0.5984183516245287,Text revamp this virtuosic and sentence.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
3,0.5983467663104802,Overhaul this paragraph.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
3,0.5980843908062758,Modify this text.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
3,0.5980282044409382,Text in revamp this sentence.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
4,0.6092111636692039,Modify this text spoken in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
4,0.6041287836962563,Text in revamp this sentence convey.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
4,0.6037684297026074,Text wanna revamp this virtuosic and sentence.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
4,0.6033728869259766,Text into revamp this virtuosic and sentence.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
4,0.6009728400814044,Text- revamp this virtuosic and sentence.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
5,0.6101410914665756,Modify this text spoken more in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
5,0.6092948823927151,Text revamp this sentence convey.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
5,0.6092111632540343,Modify this text spoken in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
5,0.6091497925722789,Modify this revitalize text spoken in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
5,0.6089932181081824,Modify this text used spoken in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
6,0.6122806855610884,Modify please this revitalize text spoken in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
6,0.6117614683914181,Text revamp the this sentence convey.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
6,0.6113482234457224,"Modify this auletes, and revitalize text spoken in.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
