,rewrite_prompt,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
4,this content into a somber wartime report.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
10,this text into a poignant worldview narrative piece.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
18,this topic to include the burning temple and information regarding the concept of multiple lives.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
20,"the preserved themes from 1895 by infusing them with an air of mystery and enchantment, ensuring their safekeeping amidst the tides of time.",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
30,enhance the setting by emphasizing the castle and center the story around the mother.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
64,the perspective of an early explorer's observations on society.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
65,this passage as a letter to effectively highlight the exceptional works found in the rich collection of the Project Gutenberg Literary Archive.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
66,"this passage as if the newly crowned king carefully selected his words, seemingly inspired by the sights of Banchory-Ternan in his reflection on life.",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
70,this passage into a reverberating piece of text worthy of a British warrior.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
74,"on a short story by incorporating various perspectives and interests of different individuals involved in the narrative, such as stakeholders.",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
