,rewrite_prompt,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
6,"""my ears"" as ""William Smith.""",9,9_speech_political_commentary_detective,"['speech', 'political', 'commentary', 'detective', 'political commentary', 'historical', 'leader', 'text', 'historical uprising', 'uprising']","['a political commentary.', 'a political commentary.', 'a political commentary.']",speech - political - commentary - detective - political commentary - historical - leader - text - historical uprising - uprising,False
13,the characters in the style of a charismatic preacher.,9,9_speech_political_commentary_detective,"['speech', 'political', 'commentary', 'detective', 'political commentary', 'historical', 'leader', 'text', 'historical uprising', 'uprising']","['a political commentary.', 'a political commentary.', 'a political commentary.']",speech - political - commentary - detective - political commentary - historical - leader - text - historical uprising - uprising,False
15,the main points of a political commentary.,9,9_speech_political_commentary_detective,"['speech', 'political', 'commentary', 'detective', 'political commentary', 'historical', 'leader', 'text', 'historical uprising', 'uprising']","['a political commentary.', 'a political commentary.', 'a political commentary.']",speech - political - commentary - detective - political commentary - historical - leader - text - historical uprising - uprising,False
25,a political commentary on ecclesiastical reforms.,9,9_speech_political_commentary_detective,"['speech', 'political', 'commentary', 'detective', 'political commentary', 'historical', 'leader', 'text', 'historical uprising', 'uprising']","['a political commentary.', 'a political commentary.', 'a political commentary.']",speech - political - commentary - detective - political commentary - historical - leader - text - historical uprising - uprising,False
29,"the ""Silver Linings Playbook"" and make it colder.",9,9_speech_political_commentary_detective,"['speech', 'political', 'commentary', 'detective', 'political commentary', 'historical', 'leader', 'text', 'historical uprising', 'uprising']","['a political commentary.', 'a political commentary.', 'a political commentary.']",speech - political - commentary - detective - political commentary - historical - leader - text - historical uprising - uprising,False
83,a sermon in English.,9,9_speech_political_commentary_detective,"['speech', 'political', 'commentary', 'detective', 'political commentary', 'historical', 'leader', 'text', 'historical uprising', 'uprising']","['a political commentary.', 'a political commentary.', 'a political commentary.']",speech - political - commentary - detective - political commentary - historical - leader - text - historical uprising - uprising,False
84,the given text about the newspaper's significance in European civilization into a satirical resignation letter from Watanabe.,9,9_speech_political_commentary_detective,"['speech', 'political', 'commentary', 'detective', 'political commentary', 'historical', 'leader', 'text', 'historical uprising', 'uprising']","['a political commentary.', 'a political commentary.', 'a political commentary.']",speech - political - commentary - detective - political commentary - historical - leader - text - historical uprising - uprising,False
111,this text into a poem about a detective searching for the truth.,9,9_speech_political_commentary_detective,"['speech', 'political', 'commentary', 'detective', 'political commentary', 'historical', 'leader', 'text', 'historical uprising', 'uprising']","['a political commentary.', 'a political commentary.', 'a political commentary.']",speech - political - commentary - detective - political commentary - historical - leader - text - historical uprising - uprising,False
113,a political commentary.,9,9_speech_political_commentary_detective,"['speech', 'political', 'commentary', 'detective', 'political commentary', 'historical', 'leader', 'text', 'historical uprising', 'uprising']","['a political commentary.', 'a political commentary.', 'a political commentary.']",speech - political - commentary - detective - political commentary - historical - leader - text - historical uprising - uprising,True
144,the legal document for the letter of clemency to be written in different terms and defended in a sermon by an AI poet laureate.,9,9_speech_political_commentary_detective,"['speech', 'political', 'commentary', 'detective', 'political commentary', 'historical', 'leader', 'text', 'historical uprising', 'uprising']","['a political commentary.', 'a political commentary.', 'a political commentary.']",speech - political - commentary - detective - political commentary - historical - leader - text - historical uprising - uprising,False
189,a proclamation by Telford and the Young.,9,9_speech_political_commentary_detective,"['speech', 'political', 'commentary', 'detective', 'political commentary', 'historical', 'leader', 'text', 'historical uprising', 'uprising']","['a political commentary.', 'a political commentary.', 'a political commentary.']",speech - political - commentary - detective - political commentary - historical - leader - text - historical uprising - uprising,False
215,the haikus by removing any unnecessary elements and adding a noir twist.,9,9_speech_political_commentary_detective,"['speech', 'political', 'commentary', 'detective', 'political commentary', 'historical', 'leader', 'text', 'historical uprising', 'uprising']","['a political commentary.', 'a political commentary.', 'a political commentary.']",speech - political - commentary - detective - political commentary - historical - leader - text - historical uprising - uprising,False
217,a political commentary.,9,9_speech_political_commentary_detective,"['speech', 'political', 'commentary', 'detective', 'political commentary', 'historical', 'leader', 'text', 'historical uprising', 'uprising']","['a political commentary.', 'a political commentary.', 'a political commentary.']",speech - political - commentary - detective - political commentary - historical - leader - text - historical uprising - uprising,True
