,rewrite_prompt,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
7,rewrite the story for a different perspective.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
11,"the text to: ""Please read this text and revise it for hereditary character development.""",5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
14,this text to be simpler and more understandable; make it a question using basic language and emotion.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
28,"rephrase ""Convey a sly fox.""",5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
37,the essay by Rex Beach with monks chanting instead of from every person's point of view.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
39,rewrite the story with him back in the high.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
46,revise the text from essay 1303 to make it more readable and approachable.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
56,you please provide the original prompt you intended to give me?,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
59,rewrite the letter to include a critique of societal dynamics.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
73,"every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""",5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,True
